match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_width,serve_depth,return_depth
2023-wimbledon-1602,Jannik Sinner,Novak Djokovic,00:00:00,1,1,1,0,0,0,0,0,0,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.218,19.239,5,110.0,BW,NCTL,D
2023-wimbledon-1602,Jannik Sinner,Novak Djokovic,00:00:35,1,1,2,0,0,0,0,0,15,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.249,3.65,1,108.0,C,NCTL,ND
2023-wimbledon-1602,Jannik Sinner,Novak Djokovic,00:01:28,1,1,3,0,0,0,0,0,30,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16.615,12.767,4,111.0,W,CTL,ND
2023-wimbledon-1602,Jannik Sinner,Novak Djokovic,00:02:00,1,1,4,0,0,0,0,15,30,2,1,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16.916,11.733,4,126.0,BW,NCTL,ND
2023-wimbledon-1602,Jannik Sinner,Novak Djokovic,00:02:33,1,1,5,0,0,0,0,30,30,2,2,1,3,2,0,0,0,0,1,0,F,0,0,0,0,1,0,1,0,0,0,0,0,0,0,18.175,12.204,4,84.0,C,NCTL,ND
2023-wimbledon-1602,Jannik Sinner,Novak Djokovic,00:03:22,1,1,6,0,0,0,0,40,30,2,1,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,22.935,18.55,5,119.0,C,CTL,D
2023-wimbledon-1602,Jannik Sinner,Novak Djokovic,00:03:58,1,1,7,0,0,0,0,40,40,2,1,1,4,3,0,0,0,0,1,0,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.942,40.094,12,124.0,C,NCTL,D
2023-wimbledon-1602,Jannik Sinner,Novak Djokovic,00:04:53,1,1,8,0,0,0,0,AD,40,2,2,2,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,17.421,16.192,5,87.0,BW,NCTL,ND
2023-wimbledon-1602,Jannik Sinner,Novak Djokovic,00:05:50,1,1,9,0,0,0,0,40,40,2,2,2,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.524,17.381,5,87.0,BC,NCTL,ND
2023-wimbledon-1602,Jannik Sinner,Novak Djokovic,00:06:37,1,1,10,0,0,0,0,40,AD,2,2,2,4,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.704,13.002,3,91.0,BW,NCTL,ND
2023-wimbledon-1602,Jannik Sinner,Novak Djokovic,00:08:04,1,2,11,0,0,0,1,0,0,1,1,2,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.645,11.785,2,116.0,BW,NCTL,D
2023-wimbledon-1602,Jannik Sinner,Novak Djokovic,00:08:31,1,2,12,0,0,0,1,0,15,1,1,1,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.867,3.394,1,128.0,BW,NCTL,D
2023-wimbledon-1602,Jannik Sinner,Novak Djokovic,00:08:55,1,2,13,0,0,0,1,15,15,1,1,1,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.111,29.488,3,118.0,W,CTL,ND
2023-wimbledon-1602,Jannik Sinner,Novak Djokovic,00:09:40,1,2,14,0,0,0,1,30,15,1,1,2,6,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.998,12.645,2,126.0,C,NCTL,ND
2023-wimbledon-1602,Jannik Sinner,Novak Djokovic,00:10:14,1,2,15,0,0,0,1,30,30,1,1,2,6,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18.315,24.61,6,132.0,BC,NCTL,ND
2023-wimbledon-1602,Jannik Sinner,Novak Djokovic,00:10:53,1,2,16,0,0,0,1,30,40,1,2,2,6,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,15.013,15.777,4,96.0,BW,CTL,D
2023-wimbledon-1602,Jannik Sinner,Novak Djokovic,00:11:51,1,3,17,0,0,0,2,0,0,2,1,1,7,10,0,0,0,0,1,0,B,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22.967,17.196,6,107.0,BW,NCTL,ND
2023-wimbledon-1602,Jannik Sinner,Novak Djokovic,00:12:24,1,3,18,0,0,0,2,15,0,2,1,2,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.65,18.758,5,124.0,BW,NCTL,ND
2023-wimbledon-1602,Jannik Sinner,Novak Djokovic,00:12:57,1,3,19,0,0,0,2,15,15,2,2,2,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.822,2.713,1,103.0,W,CTL,ND
2023-wimbledon-1602,Jannik Sinner,Novak Djokovic,00:13:36,1,3,20,0,0,0,2,15,30,2,2,2,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.931,25.416,7,102.0,BC,NCTL,ND
2023-wimbledon-1602,Jannik Sinner,Novak Djokovic,00:14:29,1,3,21,0,0,0,2,15,40,2,2,1,8,13,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,15.259,12.093,2,91.0,C,NCTL,ND
2023-wimbledon-1602,Jannik Sinner,Novak Djokovic,00:15:15,1,3,22,0,0,0,2,30,40,2,1,2,8,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.332,12.348,1,121.0,W,CTL,ND
2023-wimbledon-1602,Jannik Sinner,Novak Djokovic,00:16:55,1,4,23,0,0,0,3,0,0,1,1,1,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.108,6.384,1,129.0,C,NCTL,D
2023-wimbledon-1602,Jannik Sinner,Novak Djokovic,00:17:21,1,4,24,0,0,0,3,15,0,1,2,1,10,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.243,2.425,1,97.0,BC,NCTL,ND
2023-wimbledon-1602,Jannik Sinner,Novak Djokovic,00:17:56,1,4,25,0,0,0,3,30,0,1,1,1,11,14,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.594,1.158,1,124.0,C,NCTL,
2023-wimbledon-1602,Jannik Sinner,Novak Djokovic,00:18:23,1,4,26,0,0,0,3,40,0,1,2,2,11,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16.13,20.186,6,91.0,B,NCTL,D
2023-wimbledon-1602,Jannik Sinner,Novak Djokovic,00:19:02,1,4,27,0,0,0,3,40,15,1,2,1,12,15,1,0,0,0,1,0,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.761,17.861,5,99.0,C,NCTL,ND
2023-wimbledon-1602,Jannik Sinner,Novak Djokovic,00:19:56,1,5,28,0,0,1,3,0,0,2,1,2,12,16,0,0,0,0,0,1,F,0,0,0,0,0,1,0,1,0,0,0,0,0,0,11.065,7.193,3,111.0,W,CTL,ND
2023-wimbledon-1602,Jannik Sinner,Novak Djokovic,00:20:24,1,5,29,0,0,1,3,0,15,2,2,1,13,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.657,17.158,4,90.0,BW,CTL,ND
